City Name,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Linxia Chengguanzhen, 35.6003, 103.2064, 69.78, 81, 96, 3.87, CN, 1660339551 
Rikitea, -23.1203, -134.9692, 73.18, 73, 100, 23.51, PF, 1660339554 
Horsham, 51.064, -0.3272, 76.05, 52, 0, 5.75, GB, 1660339557 
Port Alfred, -33.5906, 26.891, 59.13, 72, 98, 15.43, ZA, 1660339559 
Nome, 64.5011, -165.4064, 51.87, 87, 100, 9.22, US, 1660339561 
Hithadhoo, -0.6, 73.0833, 82.09, 76, 76, 11.99, MV, 1660339279 
Lagos, 6.5833, 3.75, 77.32, 87, 86, 6.04, NG, 1660339564 
Castro, -24.7911, -50.0119, 54.25, 77, 5, 8.01, BR, 1660339566 
Torbay, 47.6666, -52.7314, 63.39, 89, 100, 12.66, CA, 1660339568 
New Norfolk, -42.7826, 147.0587, 47.91, 89, 52, 1.99, AU, 1660339569 
Sarangani, 5.4033, 125.4636, 83.1, 73, 75, 6.87, PH, 1660339571 
Tuktoyaktuk, 69.4541, -133.0374, 66.2, 59, 40, 10.36, CA, 1660339573 
Bonavista, 48.6499, -53.1147, 61.5, 87, 56, 14.99, CA, 1660339575 
Tiksi, 71.6872, 128.8694, 40.17, 90, 98, 8.55, RU, 1660339576 
Bredasdorp, -34.5322, 20.0403, 47.1, 82, 54, 5.77, ZA, 1660339578 
Bluff, -46.6, 168.3333, 44.8, 79, 76, 4.23, NZ, 1660339579 
Nikolskoye, 59.7035, 30.7861, 64.29, 86, 4, 3.78, RU, 1660339581 
Albany, 42.6001, -73.9662, 78.37, 36, 4, 10.47, US, 1660339203 
Saskylakh, 71.9167, 114.0833, 47.5, 65, 100, 1.66, RU, 1660339586 
Jamestown, 42.097, -79.2353, 75.06, 34, 0, 12.66, US, 1660339588 
Hervey Bay, -25.2986, 152.8535, 66.34, 80, 99, 7.87, AU, 1660339528 
Lebu, -37.6167, -73.65, 51.22, 92, 100, 19.37, CL, 1660339592 
Vaini, -21.2, -175.2, 75.36, 69, 20, 12.66, TO, 1660339594 
Coquimbo, -29.9533, -71.3436, 56.93, 71, 0, 8.05, CL, 1660339397 
Nizhniy Odes, 63.6445, 54.856, 53.47, 89, 100, 11.88, RU, 1660339599 
Constitución, -35.3333, -72.4167, 53.76, 71, 88, 6.2, CL, 1660339601 
